confidence	arg1	rel	arg2	enabler	attribution	text	pattern	dependencies
1.0	it	improves	readily with averaging of repeated acquisitions			A spectrum from a single FID has a low signal-to-noise ratio , but fortunately it improves readily with averaging of repeated acquisitions .		
1.0	the Samaritan ethnonym	is not derived	from the region of Samaria			According to Samaritan tradition , however , the Samaritan ethnonym is not derived from the region of Samaria , but from the fact that they were the `` Guardians '' of the true Israelite religion .		
1.0	they	were	the `` Guardians '' of the true Israelite religion			According to Samaritan tradition , however , the Samaritan ethnonym is not derived from the region of Samaria , but from the fact that they were the `` Guardians '' of the true Israelite religion .		
1.0	the population of the town	is	2,310			According to the 2010 census , the population of the town is 2,310 .		
1.0	many Koreans	became	victims of Japanese brutalities during the colonial period			According to the South Koreans , many Koreans became victims of Japanese brutalities during the colonial period .		
1.0	the town	has	a total area of , all of it land			According to the United States Census Bureau , the town has a total area of , all of it land .		
1.0	Gonzalez	of defrauding	the West Bronx Neighborhood Association Inc			According to the indictment , Gonzalez is accused of defrauding the West Bronx Neighborhood Association Inc. , a not-for-profit corporation , by using funds donated to the organization in order to pay for over $ 37,000 in personal expenses .		
1.0	Gonzalez	is accused	According to the indictment , Gonzalez is accused of defrauding the West Bronx Neighborhood Association Inc. , a not-for-profit corporation , by using funds donated to the organization in order to pay for over $ 37,000 in personal expenses			According to the indictment , Gonzalez is accused of defrauding the West Bronx Neighborhood Association Inc. , a not-for-profit corporation , by using funds donated to the organization in order to pay for over $ 37,000 in personal expenses .		
1.0	Gonzalez	is accused	of defrauding the West Bronx Neighborhood Association Inc. , a not-for-profit corporation , by using funds			According to the indictment , Gonzalez is accused of defrauding the West Bronx Neighborhood Association Inc. , a not-for-profit corporation , by using funds donated to the organization in order to pay for over $ 37,000 in personal expenses .		
1.0	funds	donated	to the organization in order to pay for over $ 37,000 in personal expenses			According to the indictment , Gonzalez is accused of defrauding the West Bronx Neighborhood Association Inc. , a not-for-profit corporation , by using funds donated to the organization in order to pay for over $ 37,000 in personal expenses .		
1.0	the edition whose continued use as an extraordinary form of	is authorized	extraordinary form of the Roman Rite is authorized by the motu proprio `` Summorum Pontificum			Accordingly , the 1962 Roman Missal , the edition whose continued use as an extraordinary form of the Roman Rite is authorized by the motu proprio `` Summorum Pontificum '' , also has no mention of her .		
1.0	the 1962 Roman Missal	has	no mention of her			Accordingly , the 1962 Roman Missal , the edition whose continued use as an extraordinary form of the Roman Rite is authorized by the motu proprio `` Summorum Pontificum '' , also has no mention of her .		
1.0	the French Community of Belgium	has controversially begun	to itself exclusively as the ` Wallonia-Brussels Federation			Additionally , the French Community of Belgium has controversially begun referring to itself exclusively as the ` Wallonia-Brussels Federation ' to emphasize the links between the French Community , Wallonia and Brussels .		
1.0	the French Community of Belgium	has controversially begun referring	to itself exclusively as the ` Wallonia-Brussels Federation			Additionally , the French Community of Belgium has controversially begun referring to itself exclusively as the ` Wallonia-Brussels Federation ' to emphasize the links between the French Community , Wallonia and Brussels .		
1.0	the French Community of Belgium	to emphasize	the links between the French Community , Wallonia and Brussels			Additionally , the French Community of Belgium has controversially begun referring to itself exclusively as the ` Wallonia-Brussels Federation ' to emphasize the links between the French Community , Wallonia and Brussels .		
1.0	cable hauling	ceased	After 1895 cable hauling ceased and locomotives pulled trains the whole length of the Victoria and Waterloo			After 1895 cable hauling ceased and locomotives pulled trains the whole length of the Victoria and Waterloo tunnels .		
1.0	locomotives	pulled	trains the whole length of the Victoria and Waterloo tunnels			After 1895 cable hauling ceased and locomotives pulled trains the whole length of the Victoria and Waterloo tunnels .		
1.0	the Colonials	found	After five years of searching , the Colonials found a primitive , lush and vibrant new world and named it Earth			After five years of searching , the Colonials found a primitive , lush and vibrant new world and named it Earth .		
1.0	the Colonials	named	it Earth			After five years of searching , the Colonials found a primitive , lush and vibrant new world and named it Earth .		
1.0	Cole	went on	to appear as Blanche Ingram in the critically acclaimed `` Jane Eyre '' TV serial for the BBC			After leaving `` Hex '' , Cole went on to appear as Blanche Ingram in the critically acclaimed `` Jane Eyre '' TV serial for the BBC and guest starred as Lilith in the `` Doctor Who '' episode `` The Shakespeare Code '' .		
1.0	Cole	went on	After leaving `` Hex '' , Cole went on to appear as Blanche Ingram in the critically acclaimed `` Jane Eyre '' TV serial for the BBC and guest starred as Lilith			After leaving `` Hex '' , Cole went on to appear as Blanche Ingram in the critically acclaimed `` Jane Eyre '' TV serial for the BBC and guest starred as Lilith in the `` Doctor Who '' episode `` The Shakespeare Code '' .		
1.0	Mothra	retired	to Infant Island			After the battle , Battra rested in the Arctic Ocean , whereas Mothra retired to Infant Island , accompanied by the two Cosmos .		
1.0	Battra	rested	After the battle , Battra rested in the Arctic Ocean			After the battle , Battra rested in the Arctic Ocean , whereas Mothra retired to Infant Island , accompanied by the two Cosmos .		
1.0	Infant Island	accompanied	by the two Cosmos			After the battle , Battra rested in the Arctic Ocean , whereas Mothra retired to Infant Island , accompanied by the two Cosmos .		
1.0	many of the republicans	were arrested	After this point many of the republicans were arrested in Free State `` round ups '' when they had come out of hiding and returned home			After this point many of the republicans were arrested in Free State `` round ups '' when they had come out of hiding and returned home .		
1.0	they	returned	home			After this point many of the republicans were arrested in Free State `` round ups '' when they had come out of hiding and returned home .		
1.0	he	was	more distraught over a permanent injury			Although Knievel broke his arms , he was more distraught over a permanent injury his accident caused to the cameraman .		
1.0	Knievel	broke	his arms			Although Knievel broke his arms , he was more distraught over a permanent injury his accident caused to the cameraman .		
1.0	a permanent injury his accident	caused	to the cameraman			Although Knievel broke his arms , he was more distraught over a permanent injury his accident caused to the cameraman .		
1.0	Hazelwood	came	through the invasion			Although under constant attack from kamikazes as well as fighters and dive-bombers , `` Hazelwood '' came through the invasion untouched and on the night of 25 February sank two small enemy freighters with her guns .		
1.0	Hazelwood	sank	on the night of 25 February sank two small enemy freighters with her guns			Although under constant attack from kamikazes as well as fighters and dive-bombers , `` Hazelwood '' came through the invasion untouched and on the night of 25 February sank two small enemy freighters with her guns .		
1.0	An animal	cares for its young but shows	for its young but shows no other sociality traits			An animal that cares for its young but shows no other sociality traits is said to be `` subsocial '' .		
1.0	An animal that cares for its young but shows no other sociality traits	to be	subsocial			An animal that cares for its young but shows no other sociality traits is said to be `` subsocial '' .		
1.0	An original limited artist edition of 250	was	an oversized fine press slip-cased book			An original limited artist edition of 250 was published in 1989 and was an oversized fine press slip-cased book with stainless steel faced boards and digital clock inset into the front cover .		
1.0	An original limited artist edition of 250	was published	in 1989			An original limited artist edition of 250 was published in 1989 and was an oversized fine press slip-cased book with stainless steel faced boards and digital clock inset into the front cover .		
1.0	An original limited artist edition of 250	was an oversized fine press slip-cased book with stainless steel faced boards and digital clock inset	an oversized fine press slip-cased book with stainless steel faced boards and digital clock inset into the front cover			An original limited artist edition of 250 was published in 1989 and was an oversized fine press slip-cased book with stainless steel faced boards and digital clock inset into the front cover .		
1.0	ABS	has formed	a partnership with Habitat for Humanity to give a free Bible to each of its new homeowners in the United States			And ABS has formed a partnership with Habitat for Humanity to give a free Bible to each of its new homeowners in the United States .		
1.0	it	was	Muhammad ibn Abu Bakr			And he was in Ali 's army in the Battle of Jamal and later it was Muhammad ibn Abu Bakr who escorted Aisha back to Madina .		
1.0	he	was	in Ali 's army in the Battle of Jamal			And he was in Ali 's army in the Battle of Jamal and later it was Muhammad ibn Abu Bakr who escorted Aisha back to Madina .		
1.0	Muhammad ibn Abu Bakr	escorted	Aisha back to Madina			And he was in Ali 's army in the Battle of Jamal and later it was Muhammad ibn Abu Bakr who escorted Aisha back to Madina .		
1.0	Andrea Bianco 's atlas of 1436	comprises	of vellum			Andrea Bianco 's atlas of 1436 comprises ten leaves of vellum , measuring , in an 18th-century binding .		
1.0	Andrea Bianco 's atlas of 1436	comprises	ten leaves of vellum , measuring , in an 18th-century binding			Andrea Bianco 's atlas of 1436 comprises ten leaves of vellum , measuring , in an 18th-century binding .		
1.0	Apartment buildings , shops , medical clinics , cinemas etc	were built	in close proximity to the MAZ plant			Apartment buildings , shops , medical clinics , cinemas etc. were built in close proximity to the MAZ plant , providing plant workers with local necessities .		
1.0	Apartment buildings , shops , medical clinics , cinemas etc	providing	plant workers with local necessities			Apartment buildings , shops , medical clinics , cinemas etc. were built in close proximity to the MAZ plant , providing plant workers with local necessities .		
1.0	Applications	can use	this service to record activity for a production system			Applications can use this service to record activity for a production system while implementations of other OSIDs can use the service to record detailed data during development , debugging , or analyzing performance .		
1.0	implementations of other OSIDs	can use	the service to record detailed data during development , debugging , or analyzing performance			Applications can use this service to record activity for a production system while implementations of other OSIDs can use the service to record detailed data during development , debugging , or analyzing performance .		
1.0	Applying this technique	facilitates	the connection of the center of the foot with the lower abdomen			Applying this technique facilitates the connection of the center of the foot with the lower abdomen .		
1.0	he	clashed	As Attorney General he clashed with Daniel O'Connell when he insisted , against O'Connell 's wishes , on the appointment of Abraham Brewster as Law Adviser to the Lord Lieutenant of Ireland			As Attorney General he clashed with Daniel O'Connell when he insisted , against O'Connell 's wishes , on the appointment of Abraham Brewster as Law Adviser to the Lord Lieutenant of Ireland .		
1.0	the team	was enshrined	into the Basketball Hall of Fame in 1959			As a group , the team was enshrined into the Basketball Hall of Fame in 1959 .		
1.0	it	becomes	clear that the microbe can not survive outside a narrow pH range			As a result , it becomes clear that the microbe can not survive outside a narrow pH range .		
1.0	the microbe	can not survive	outside a narrow pH range			As a result , it becomes clear that the microbe can not survive outside a narrow pH range .		
1.0	the lower river	to	be dredged three times in two years			As a result , the lower river had to be dredged three times in two years .		
1.0	the French kings	sent	As early as the 15th century , the French kings sent commissioners to the provinces to inspect on royal and administrative affairs and to take necessary action			As early as the 15th century , the French kings sent commissioners to the provinces to inspect on royal and administrative affairs and to take necessary action .		
1.0	Armah	contrasts	the two worlds of materialism and moral values			As in his first novel , Armah contrasts the two worlds of materialism and moral values , corruption and dreams , two worlds of integrity and social pressure .		
1.0	Armah	contrasts	the two worlds of materialism and moral values			As in his first novel , Armah contrasts the two worlds of materialism and moral values , corruption and dreams , two worlds of integrity and social pressure .		
1.0	absolute accuracy of a measurement	requires	a functionality for calibration			As is true for all sensors , absolute accuracy of a measurement requires a functionality for calibration .		
1.0	Sandy	aspires	to become a banker			As of `` A Wind in the Door '' , Sandy aspires to become a banker , on the grounds that it is practical and lucrative .		
1.0	Sandy	aspires	to become a banker , on the grounds that it is practical and lucrative			As of `` A Wind in the Door '' , Sandy aspires to become a banker , on the grounds that it is practical and lucrative .		
1.0	several efforts to have the Gypsy Horse	to have the Gypsy Horse recognized	as a breed outside the Romanichal community			As part of several efforts to have the Gypsy Horse recognized as a breed outside the Romanichal community , a more descriptive name was sought for it , starting in the 1990s .		
1.0	a more descriptive name	was sought	for it , starting in the 1990s			As part of several efforts to have the Gypsy Horse recognized as a breed outside the Romanichal community , a more descriptive name was sought for it , starting in the 1990s .		
1.0	Assisting in the recording process	were	Fernando Cabello and two friends of the group			Assisting in the recording process were Fernando Cabello and two friends of the group , Eva Dalda and Lydia Iovanne .		
1.0	group	were	Eva Dalda and Lydia Iovanne			Assisting in the recording process were Fernando Cabello and two friends of the group , Eva Dalda and Lydia Iovanne .		
1.0	Celine Dion	helped	At a presentation in the Toronto Pearson International Airport hangar , Celine Dion helped the newly solvent airline debut its new image			At a presentation in the Toronto Pearson International Airport hangar , Celine Dion helped the newly solvent airline debut its new image .		
1.0	8 people	were killed	in the ensuing tsunami			At least 11 villagers disappeared and 8 people were killed in the ensuing tsunami , two of which are prisoners at one of the Permisan prisons .		
1.0	At least 11 villagers	disappeared	and 8 people were killed in the ensuing tsunami			At least 11 villagers disappeared and 8 people were killed in the ensuing tsunami , two of which are prisoners at one of the Permisan prisons .		
1.0	two of which	are	prisoners at one of the Permisan prisons			At least 11 villagers disappeared and 8 people were killed in the ensuing tsunami , two of which are prisoners at one of the Permisan prisons .		
1.0	these services	are provided	At no cost to the parents , these services are provided in compliance with state and federal law			At no cost to the parents , these services are provided in compliance with state and federal law ; and are reasonably calculated to yield meaningful educational benefit and student progress .		
1.0	these services	are reasonably calculated	reasonably calculated to yield meaningful educational benefit and student progress			At no cost to the parents , these services are provided in compliance with state and federal law ; and are reasonably calculated to yield meaningful educational benefit and student progress .		
1.0	Ballard	is	At one point , Ballard is nearly possessed			At one point , Ballard is nearly possessed , but resists when she is given a drug and discovers that the spirits are attacking them as they believe that the humans are invaders and plan to exterminate the humans on Mars .		
1.0	Barbara	fought	a mugger and ultimately miscarried her child			Barbara , however , unable to leave behind her vigilante life , fought a mugger and ultimately miscarried her child .		
1.0	Barbara	miscarried	her child			Barbara , however , unable to leave behind her vigilante life , fought a mugger and ultimately miscarried her child .		
1.0	the street grid north of Yesler	does not line up	with the neighborhood 's other streets			Because Yesler Way marks the boundary between two different plats , the street grid north of Yesler does not line up with the neighborhood 's other streets , so the northern `` border '' of the district zigzags along numerous streets .		
1.0	the street grid north of Yesler	does not line up	Because Yesler Way marks the boundary between two different plats , the street grid north of Yesler does not line up with the neighborhood 's other streets , so the northern `` border '' of the district zigzags along numerous streets			Because Yesler Way marks the boundary between two different plats , the street grid north of Yesler does not line up with the neighborhood 's other streets , so the northern `` border '' of the district zigzags along numerous streets .		
1.0	Yesler Way	marks	the boundary between two different plats			Because Yesler Way marks the boundary between two different plats , the street grid north of Yesler does not line up with the neighborhood 's other streets , so the northern `` border '' of the district zigzags along numerous streets .		
1.0	the northern `` border '' of the district	zigzags	along numerous streets			Because Yesler Way marks the boundary between two different plats , the street grid north of Yesler does not line up with the neighborhood 's other streets , so the northern `` border '' of the district zigzags along numerous streets .		
1.0	the alliance	plays	a significant role in Islamic ethics			Because of Muhammad 's role in its formation , the alliance plays a significant role in Islamic ethics .		
1.0	Beast	can outperform	any Olympic-level athlete , contorting his body and performing aerial feats			Because of his talents and training , Beast can outperform any Olympic-level athlete , contorting his body and performing aerial feats gracefully .		
1.0	Beast	can outperform	any Olympic-level athlete			Because of his talents and training , Beast can outperform any Olympic-level athlete , contorting his body and performing aerial feats gracefully .		
1.0	Beast	can outperform any Olympic-level athlete , contorting	his body and performing aerial feats gracefully			Because of his talents and training , Beast can outperform any Olympic-level athlete , contorting his body and performing aerial feats gracefully .		
1.0	Bruce 's Justice Lord counterpart	was happily married	to Wonder Woman as well until her Justice Lord counterpart killed him			Bruce 's Justice Lord counterpart was happily married to Wonder Woman as well until her Justice Lord counterpart killed him .		
1.0	Burnham	died	of heart failure at the age of 86 , on September 1 , 1947 at his home in Santa , Barbara			Burnham died of heart failure at the age of 86 , on September 1 , 1947 at his home in Santa , Barbara , California .		
1.0	this practice	simply reduces	government interest costs rather than truly canceling government debt			But this practice simply reduces government interest costs rather than truly canceling government debt , and can result in hyperinflation if used unsparingly .		
1.0	this practice	can result	in hyperinflation			But this practice simply reduces government interest costs rather than truly canceling government debt , and can result in hyperinflation if used unsparingly .		
1.0	she	was raising	By then , she was raising not only her own children but also her nephews			By then , she was raising not only her own children but also her nephews , who had been orphaned by the plague .		
1.0	also her nephews	had been orphaned	by the plague			By then , she was raising not only her own children but also her nephews , who had been orphaned by the plague .		
1.0	Simpson	had returned	By this point , Simpson had returned to his mansion in Brentwood			By this point , Simpson had returned to his mansion in Brentwood and had surrendered to police .		
1.0	Simpson	had surrendered	to police			By this point , Simpson had returned to his mansion in Brentwood and had surrendered to police .		
1.0	Byers	states	that global citizenship is a `` powerful term '' because `` people that invoke it do so to provoke and justify action , '' and encourages the attendees of his lecture			Byers states that global citizenship is a `` powerful term '' because `` people that invoke it do so to provoke and justify action , '' and encourages the attendees of his lecture to re-appropriate it in order for its meaning to have a positive purpose , based on idealistic values .		
1.0	global citizenship	encourages	the attendees of his lecture to re-appropriate it in order for its meaning to have			Byers states that global citizenship is a `` powerful term '' because `` people that invoke it do so to provoke and justify action , '' and encourages the attendees of his lecture to re-appropriate it in order for its meaning to have a positive purpose , based on idealistic values .		
1.0	people	do	to provoke and justify action			Byers states that global citizenship is a `` powerful term '' because `` people that invoke it do so to provoke and justify action , '' and encourages the attendees of his lecture to re-appropriate it in order for its meaning to have a positive purpose , based on idealistic values .		
1.0	Carl	uses	the `` old magic '' to tame the Deep Crow			Carl uses the `` old magic '' to tame the Deep Crow , claiming it is not his `` first time to the rodeo . ''		
1.0	Certain fractional quantum Hall phases	to have	the right properties for building a topological quantum computer			Certain fractional quantum Hall phases appear to have the right properties for building a topological quantum computer .		
1.0	Chevalier	fulfilled	his			Chevalier fulfilled his promise the following year by erecting a shrine dedicated to the honour of Mary under the title of `` Our Lady of the Sacred Heart '' .		
1.0	Chevalier	fulfilled	his promise the following year by erecting a shrine			Chevalier fulfilled his promise the following year by erecting a shrine dedicated to the honour of Mary under the title of `` Our Lady of the Sacred Heart '' .		
1.0	a shrine	dedicated	to the honour of Mary under the title of `` Our Lady of the Sacred Heart			Chevalier fulfilled his promise the following year by erecting a shrine dedicated to the honour of Mary under the title of `` Our Lady of the Sacred Heart '' .		
1.0	Cis-regulatory elements	are	sequences that control the transcription of a nearby gene			Cis-regulatory elements are sequences that control the transcription of a nearby gene .		
1.0	Citizens for Responsibility and Ethics in Washington	filed	an Ethics Committee complaint against Bond			Citizens for Responsibility and Ethics in Washington filed an Ethics Committee complaint against Bond over his role in the ouster of Graves .		
1.0	Citizens for Responsibility and Ethics in Washington	filed	an Ethics Committee complaint against Bond over his role in the ouster of Graves			Citizens for Responsibility and Ethics in Washington filed an Ethics Committee complaint against Bond over his role in the ouster of Graves .		
1.0	these rifles	produce	appropriate match pellets these rifles produce a consistent 10 ring performance			Combined with appropriate match pellets these rifles produce a consistent 10 ring performance , so a non-maximal result during the initial phase can be attributed to the participant .		
1.0	these rifles	produce	a consistent 10 ring performance			Combined with appropriate match pellets these rifles produce a consistent 10 ring performance , so a non-maximal result during the initial phase can be attributed to the participant .		
1.0	a non-maximal result during the initial phase	can be attributed	to the participant			Combined with appropriate match pellets these rifles produce a consistent 10 ring performance , so a non-maximal result during the initial phase can be attributed to the participant .		
1.0	the first classical organist	to perform	a solo organ recital at the White House			Curley was the first classical organist to perform a solo organ recital at the White House , and also played before several European heads of state .		
1.0	Curley	was	the first classical organist to perform a solo organ recital at the White House			Curley was the first classical organist to perform a solo organ recital at the White House , and also played before several European heads of state .		
1.0	Curley	also played	before several European heads of state			Curley was the first classical organist to perform a solo organ recital at the White House , and also played before several European heads of state .		
1.0	DC Comics	held	a memorial service in Manhattan 's Lower East Side , a neighborhood Eisner often visited in his work , at the Angel Orensanz Foundation on Norfolk Street			DC Comics held a memorial service in Manhattan 's Lower East Side , a neighborhood Eisner often visited in his work , at the Angel Orensanz Foundation on Norfolk Street .		
1.0	Beuerlein	was red-hot , out-dueling	Brett Favre and connecting on 29 of 42 attempts			Despite the below-freezing temperatures , Beuerlein was red-hot , out-dueling Brett Favre and connecting on 29 of 42 attempts , with 3 TDs and no INTs , and passing for a then franchise-record 373 yards .		
1.0	Beuerlein	was	red-hot , out-dueling Brett Favre and connecting on 29 of 42 attempts , with 3 TDs and no INTs			Despite the below-freezing temperatures , Beuerlein was red-hot , out-dueling Brett Favre and connecting on 29 of 42 attempts , with 3 TDs and no INTs , and passing for a then franchise-record 373 yards .		
1.0	Beuerlein	was	the below-freezing temperatures , Beuerlein was red-hot			Despite the below-freezing temperatures , Beuerlein was red-hot , out-dueling Brett Favre and connecting on 29 of 42 attempts , with 3 TDs and no INTs , and passing for a then franchise-record 373 yards .		
1.0	Beuerlein	was	on 29 of 42 attempts , with 3 TDs and no INTs , and passing for a then franchise-record 373 yards			Despite the below-freezing temperatures , Beuerlein was red-hot , out-dueling Brett Favre and connecting on 29 of 42 attempts , with 3 TDs and no INTs , and passing for a then franchise-record 373 yards .		
1.0	Dodo	is portrayed	this way at the end of `` The Massacre			Dodo was originally intended to have a `` common '' accent , and is portrayed this way at the end of `` The Massacre '' .		
1.0	Dr. Pim	played	for Ireland against England in 1892 , 1893 , 1894 and 1896			Dr. Pim played for Ireland against England in 1892 , 1893 , 1894 and 1896 .		
1.0	they	can be viewed	as a debate on the opposing attitudes on love			Due to the opposing nature of the two songs , they can be viewed as a debate on the opposing attitudes on love found throughout the play .		
1.0	the opposing attitudes on love	found	throughout the play			Due to the opposing nature of the two songs , they can be viewed as a debate on the opposing attitudes on love found throughout the play .		
1.0	the transmitter location	being based	in Tyrone and a smaller signal wattage			Due to the transmitter location being based in Tyrone and a smaller signal wattage , it was barely hearable in the northern portions of Atlanta beyond the downtown area or even the northern reaches of Fulton or DeKalb Counties , as it was a rimshot to the southwest of the city .		
1.0	the number of Turkish run cafes	increased	During the Second World War , the number of Turkish run cafes increased from 20 in 1939 to 200 in 1945			During the Second World War , the number of Turkish run cafes increased from 20 in 1939 to 200 in 1945 which created a demand for more Turkish Cypriot workers .		
1.0	1939 to 200 in 1945	created	a demand for more Turkish Cypriot workers			During the Second World War , the number of Turkish run cafes increased from 20 in 1939 to 200 in 1945 which created a demand for more Turkish Cypriot workers .		
1.0	some services	run	During the morning and evening rush hours some services run direct to/from Paddington and Reading			During the morning and evening rush hours some services run direct to/from Paddington and Reading .		
1.0	the ACT Rugby Union	was renamed	During the off-season the ACT Rugby Union was renamed the ACT and Southern NSW Rugby Union			During the off-season the ACT Rugby Union was renamed the ACT and Southern NSW Rugby Union , and the name of the team was changed to Brumbies Rugby .		
1.0	the name of the team	was changed	to Brumbies Rugby			During the off-season the ACT Rugby Union was renamed the ACT and Southern NSW Rugby Union , and the name of the team was changed to Brumbies Rugby .		
1.0	Each of the Matoran	brought	their Toa stone			Each of the Matoran brought their Toa stone and met each other at the Great Temple .		
1.0	Each of the Matoran	met	each other at the Great Temple			Each of the Matoran brought their Toa stone and met each other at the Great Temple .		
1.0	Cluemaster	escapes or starts	some new plan			Each time Cluemaster escapes or starts some new plan , Stephanie dons her costume again .		
1.0	Stephanie	dons	Each time Cluemaster escapes or starts some new plan , Stephanie dons her costume again			Each time Cluemaster escapes or starts some new plan , Stephanie dons her costume again .		
1.0	Erotica and pornography	involving	sex between women			Erotica and pornography involving sex between women have been predominantly produced by men for a male and female audience .		
1.0	Erotica and pornography involving sex between women	have been predominantly produced	by men for a male and female audience			Erotica and pornography involving sex between women have been predominantly produced by men for a male and female audience .		
1.0	Failure	to perform	the duty			Failure to perform the duty could lead to prosecution at law and re-enslavement .		
1.0	Failure to perform the duty	could lead	to prosecution at law and re-enslavement			Failure to perform the duty could lead to prosecution at law and re-enslavement .		
1.0	Falun Gong 's teachings	are compiled	from Li 's lectures			Falun Gong 's teachings are compiled from Li 's lectures , and Li holds definitional power in that belief system .		
1.0	Li	holds	definitional power in that belief system			Falun Gong 's teachings are compiled from Li 's lectures , and Li holds definitional power in that belief system .		
1.0	Fans	reacted	the news of the suspension by canceling their XM Radio subscriptions			Fans reacted to the news of the suspension by canceling their XM Radio subscriptions , with some fans even going as far as smashing their XM units .		
1.0	Fans	reacted	to the news of the suspension by canceling their XM Radio subscriptions			Fans reacted to the news of the suspension by canceling their XM Radio subscriptions , with some fans even going as far as smashing their XM units .		
1.0	some fans	even going	as far as smashing their XM units			Fans reacted to the news of the suspension by canceling their XM Radio subscriptions , with some fans even going as far as smashing their XM units .		
1.0	the Miami Canal	was dug	From 1909 to 1912			From 1909 to 1912 , the Miami Canal was dug , bypassing the rapids at the head of the North Fork .		
1.0	the Miami Canal	bypassing	the rapids at the head of the North Fork			From 1909 to 1912 , the Miami Canal was dug , bypassing the rapids at the head of the North Fork .		
1.0	the University	banned	smoking on any of its property			From the start of the first semester of 2010 , the University banned smoking on any of its property , including inside and outside buildings in areas that were once designated as smoking areas .		
1.0	the University	banned	smoking			From the start of the first semester of 2010 , the University banned smoking on any of its property , including inside and outside buildings in areas that were once designated as smoking areas .		
1.0	the University	banned	From the start of the first semester of 2010 , the University banned smoking on any of its property , including inside and outside buildings in areas			From the start of the first semester of 2010 , the University banned smoking on any of its property , including inside and outside buildings in areas that were once designated as smoking areas .		
1.0	areas	were once designated	once designated as smoking areas			From the start of the first semester of 2010 , the University banned smoking on any of its property , including inside and outside buildings in areas that were once designated as smoking areas .		
1.0	knowledge and interest	pertaining	to the event			Furthermore , knowledge and interest pertaining to the event , as well as the level of importance , contribute to the frequency of rehearsal .		
1.0	knowledge and interest pertaining to the event , as well as the level of importance	contribute	to the frequency of rehearsal			Furthermore , knowledge and interest pertaining to the event , as well as the level of importance , contribute to the frequency of rehearsal .		
1.0	Gameplay	is	very basic			Gameplay is very basic ; the player must shoot constantly at a continual stream of enemies in order to reach the end of each level .		
1.0	the player	must shoot	constantly at a continual stream of enemies in order to reach the end of each level			Gameplay is very basic ; the player must shoot constantly at a continual stream of enemies in order to reach the end of each level .		
