confidence	arg1	rel	arg2	enabler	attribution	text	pattern	dependencies
1.0	the microbe	survive	outside a narrow pH range			As a result , it becomes clear that the microbe can not survive outside a narrow pH range .		
1.0	the lower river	dredged	three times in two years			As a result , the lower river had to be dredged three times in two years .		
1.0	the French kings	sent	As early as the 15th century , the French kings sent commissioners to the provinces to inspect on royal and administrative affairs and to take necessary action			As early as the 15th century , the French kings sent commissioners to the provinces to inspect on royal and administrative affairs and to take necessary action .		
1.0	commissioners	inspect on royal and administrative affairs and to take	As early as the 15th century , the French kings sent commissioners to the provinces to inspect on royal and administrative affairs and to take necessary action			As early as the 15th century , the French kings sent commissioners to the provinces to inspect on royal and administrative affairs and to take necessary action .		
1.0	Armah	contrasts	the two worlds of materialism and moral values , corruption and dreams , two worlds of integrity and social			As in his first novel , Armah contrasts the two worlds of materialism and moral values , corruption and dreams , two worlds of integrity and social pressure .		
1.0	absolute accuracy of a measurement	requires	a functionality for calibration			As is true for all sensors , absolute accuracy of a measurement requires a functionality for calibration .		
1.0	Sandy	aspires	As of `` A Wind in the Door '' , Sandy aspires to become a banker			As of `` A Wind in the Door '' , Sandy aspires to become a banker , on the grounds that it is practical and lucrative .		
1.0	Sandy	become	a banker			As of `` A Wind in the Door '' , Sandy aspires to become a banker , on the grounds that it is practical and lucrative .		
1.0	the Gypsy Horse	recognized	as a breed outside the Romanichal community			As part of several efforts to have the Gypsy Horse recognized as a breed outside the Romanichal community , a more descriptive name was sought for it , starting in the 1990s .		
1.0	the Gypsy Horse recognized as a breed outside the Romanichal community , a more descriptive name	sought	recognized as a breed outside the Romanichal community , a more descriptive name was sought for it , starting in the 1990s			As part of several efforts to have the Gypsy Horse recognized as a breed outside the Romanichal community , a more descriptive name was sought for it , starting in the 1990s .		
1.0	more	starting	the 1990s			As part of several efforts to have the Gypsy Horse recognized as a breed outside the Romanichal community , a more descriptive name was sought for it , starting in the 1990s .		
1.0	Fernando Cabello and	Assisting	the recording process were Fernando Cabello and two friends of			Assisting in the recording process were Fernando Cabello and two friends of the group , Eva Dalda and Lydia Iovanne .		
1.0	Celine Dion	helped	At a presentation in the Toronto Pearson International Airport hangar , Celine Dion helped the newly solvent airline debut its new image			At a presentation in the Toronto Pearson International Airport hangar , Celine Dion helped the newly solvent airline debut its new image .		
1.0	the newly solvent airline	debut	its new image			At a presentation in the Toronto Pearson International Airport hangar , Celine Dion helped the newly solvent airline debut its new image .		
1.0	At least 11 villagers	disappeared	in the ensuing tsunami			At least 11 villagers disappeared and 8 people were killed in the ensuing tsunami , two of which are prisoners at one of the Permisan prisons .		
1.0	these services	provided	in compliance with state and federal law			At no cost to the parents , these services are provided in compliance with state and federal law ; and are reasonably calculated to yield meaningful educational benefit and student progress .		
1.0	these services	calculated	to yield meaningful educational benefit and student progress			At no cost to the parents , these services are provided in compliance with state and federal law ; and are reasonably calculated to yield meaningful educational benefit and student progress .		
1.0	the spirits	attacking them as they believe	as they believe that the humans are invaders and plan to exterminate the humans on Mars			At one point , Ballard is nearly possessed , but resists when she is given a drug and discovers that the spirits are attacking them as they believe that the humans are invaders and plan to exterminate the humans on Mars .		
1.0	the spirits	exterminate	the humans are invaders and plan to exterminate the humans on Mars			At one point , Ballard is nearly possessed , but resists when she is given a drug and discovers that the spirits are attacking them as they believe that the humans are invaders and plan to exterminate the humans on Mars .		
1.0	Ballard	discovers	when she is given a drug and discovers that the spirits are attacking them as they believe that the humans are invaders and plan to exterminate the humans on Mars			At one point , Ballard is nearly possessed , but resists when she is given a drug and discovers that the spirits are attacking them as they believe that the humans are invaders and plan to exterminate the humans on Mars .		
1.0	Barbara	leave	behind her vigilante life			Barbara , however , unable to leave behind her vigilante life , fought a mugger and ultimately miscarried her child .		
1.0	Barbara	fought	behind her vigilante life , fought a mugger			Barbara , however , unable to leave behind her vigilante life , fought a mugger and ultimately miscarried her child .		
1.0	Barbara	miscarried	her child			Barbara , however , unable to leave behind her vigilante life , fought a mugger and ultimately miscarried her child .		
1.0	the street grid north of Yesler	line	the neighborhood 's other streets			Because Yesler Way marks the boundary between two different plats , the street grid north of Yesler does not line up with the neighborhood 's other streets , so the northern `` border '' of the district zigzags along numerous streets .		
1.0	the northern `` border '' of the district	zigzags	numerous streets			Because Yesler Way marks the boundary between two different plats , the street grid north of Yesler does not line up with the neighborhood 's other streets , so the northern `` border '' of the district zigzags along numerous streets .		
1.0	the alliance	plays	of Muhammad 's role in its formation , the alliance plays a significant role in Islamic ethics			Because of Muhammad 's role in its formation , the alliance plays a significant role in Islamic ethics .		
1.0	Beast	contorting	level athlete , contorting his body			Because of his talents and training , Beast can outperform any Olympic-level athlete , contorting his body and performing aerial feats gracefully .		
1.0	Beast	can outperform	Because of his talents and training , Beast can outperform any Olympic-level athlete			Because of his talents and training , Beast can outperform any Olympic-level athlete , contorting his body and performing aerial feats gracefully .		
1.0	Beast	performing	aerial feats gracefully			Because of his talents and training , Beast can outperform any Olympic-level athlete , contorting his body and performing aerial feats gracefully .		
1.0	Burnham	died	of heart failure at the age of 86 , on September 1 , 1947 at his home in Santa , Barbara , California			Burnham died of heart failure at the age of 86 , on September 1 , 1947 at his home in Santa , Barbara , California .		
1.0	this practice	reduces	government interest costs rather than truly canceling government debt			But this practice simply reduces government interest costs rather than truly canceling government debt , and can result in hyperinflation if used unsparingly .		
1.0	this practice	result	hyperinflation if used unsparingly			But this practice simply reduces government interest costs rather than truly canceling government debt , and can result in hyperinflation if used unsparingly .		
1.0	her own children but also her nephews	orphaned	by the plague			By then , she was raising not only her own children but also her nephews , who had been orphaned by the plague .		
1.0	Simpson	had returned	By this point , Simpson had returned to his mansion in Brentwood			By this point , Simpson had returned to his mansion in Brentwood and had surrendered to police .		
1.0	Simpson	had surrendered	By this point , Simpson had returned to his mansion in Brentwood and had surrendered to police			By this point , Simpson had returned to his mansion in Brentwood and had surrendered to police .		
1.0	the attendees of	re-appropriate it in order for its meaning to have a positive purpose , based	in order for its meaning to have a positive purpose , based on idealistic values			Byers states that global citizenship is a `` powerful term '' because `` people that invoke it do so to provoke and justify action , '' and encourages the attendees of his lecture to re-appropriate it in order for its meaning to have a positive purpose , based on idealistic values .		
1.0	people	invoke it do so to provoke	justify action			Byers states that global citizenship is a `` powerful term '' because `` people that invoke it do so to provoke and justify action , '' and encourages the attendees of his lecture to re-appropriate it in order for its meaning to have a positive purpose , based on idealistic values .		
1.0	Byers	states	that global citizenship is a `` powerful term '' because `` people that invoke it do so to provoke and justify action , '' and encourages the attendees of his lecture to re-appropriate it in order for its meaning to have a positive purpose , based on idealistic values			Byers states that global citizenship is a `` powerful term '' because `` people that invoke it do so to provoke and justify action , '' and encourages the attendees of his lecture to re-appropriate it in order for its meaning to have a positive purpose , based on idealistic values .		
1.0	Byers states that global citizenship is a `` powerful term '' because `` people that invoke it do so to provoke and justify action , '' and encourages the	encourages	attendees of his lecture to re-appropriate it in order for its meaning to have a positive purpose , based on idealistic values			Byers states that global citizenship is a `` powerful term '' because `` people that invoke it do so to provoke and justify action , '' and encourages the attendees of his lecture to re-appropriate it in order for its meaning to have a positive purpose , based on idealistic values .		
1.0	Carl	tame	the Deep Crow			Carl uses the `` old magic '' to tame the Deep Crow , claiming it is not his `` first time to the rodeo . ''		
1.0	Carl	uses	the `` old magic '' to tame the Deep Crow			Carl uses the `` old magic '' to tame the Deep Crow , claiming it is not his `` first time to the rodeo . ''		
1.0	Carl	claiming	it is not his `` first time to the rodeo .			Carl uses the `` old magic '' to tame the Deep Crow , claiming it is not his `` first time to the rodeo . ''		
1.0	Certain fractional quantum Hall phases	appear	to have the right properties for building a topological quantum computer			Certain fractional quantum Hall phases appear to have the right properties for building a topological quantum computer .		
1.0	Certain fractional quantum Hall phases	building	the right properties for building a topological quantum computer			Certain fractional quantum Hall phases appear to have the right properties for building a topological quantum computer .		
1.0	Chevalier	fulfilled	his promise the following year by erecting a shrine dedicated to the honour of Mary under the title of `` Our Lady of the Sacred Heart			Chevalier fulfilled his promise the following year by erecting a shrine dedicated to the honour of Mary under the title of `` Our Lady of the Sacred Heart '' .		
1.0	Chevalier	erecting	a shrine dedicated to the honour of Mary under the title of `` Our Lady of the Sacred Heart			Chevalier fulfilled his promise the following year by erecting a shrine dedicated to the honour of Mary under the title of `` Our Lady of the Sacred Heart '' .		
1.0	Cis-regulatory elements	control	the transcription of a nearby gene			Cis-regulatory elements are sequences that control the transcription of a nearby gene .		
1.0	Citizens for Responsibility and Ethics in Washington	filed	an Ethics Committee complaint against Bond over his role in the ouster of Graves			Citizens for Responsibility and Ethics in Washington filed an Ethics Committee complaint against Bond over his role in the ouster of Graves .		
1.0	these rifles	produce	a consistent 10 ring performance			Combined with appropriate match pellets these rifles produce a consistent 10 ring performance , so a non-maximal result during the initial phase can be attributed to the participant .		
1.0	a non-maximal result during the initial	attributed	the initial phase can be attributed to the participant			Combined with appropriate match pellets these rifles produce a consistent 10 ring performance , so a non-maximal result during the initial phase can be attributed to the participant .		
1.0	Curley	perform	a solo organ recital at the White House			Curley was the first classical organist to perform a solo organ recital at the White House , and also played before several European heads of state .		
1.0	Curley	played	several European heads of state			Curley was the first classical organist to perform a solo organ recital at the White House , and also played before several European heads of state .		
1.0	DC Comics	held	a memorial service in Manhattan 's Lower East Side			DC Comics held a memorial service in Manhattan 's Lower East Side , a neighborhood Eisner often visited in his work , at the Angel Orensanz Foundation on Norfolk Street .		
1.0	Eisner	visited	in his work , at the Angel Orensanz Foundation on Norfolk			DC Comics held a memorial service in Manhattan 's Lower East Side , a neighborhood Eisner often visited in his work , at the Angel Orensanz Foundation on Norfolk Street .		
1.0	Beuerlein	passing	for a then franchise-record 373 yards			Despite the below-freezing temperatures , Beuerlein was red-hot , out-dueling Brett Favre and connecting on 29 of 42 attempts , with 3 TDs and no INTs , and passing for a then franchise-record 373 yards .		
1.0	Dodo	intended	originally intended to have a `` common '' accent			Dodo was originally intended to have a `` common '' accent , and is portrayed this way at the end of `` The Massacre '' .		
1.0	Dodo	portrayed	this way at the end of `` The Massacre			Dodo was originally intended to have a `` common '' accent , and is portrayed this way at the end of `` The Massacre '' .		
1.0	Dr. Pim	played	Ireland against England in 1892 , 1893 , 1894 and 1896			Dr. Pim played for Ireland against England in 1892 , 1893 , 1894 and 1896 .		
1.0	the opposing attitudes on love	found	throughout the play			Due to the opposing nature of the two songs , they can be viewed as a debate on the opposing attitudes on love found throughout the play .		
1.0	transmitter	based	Tyrone			Due to the transmitter location being based in Tyrone and a smaller signal wattage , it was barely hearable in the northern portions of Atlanta beyond the downtown area or even the northern reaches of Fulton or DeKalb Counties , as it was a rimshot to the southwest of the city .		
1.0	the number of Turkish run cafes	increased	During the Second World War , the number of Turkish run cafes increased from 20 in 1939 to 200 in 1945 which created a demand for more Turkish Cypriot workers			During the Second World War , the number of Turkish run cafes increased from 20 in 1939 to 200 in 1945 which created a demand for more Turkish Cypriot workers .		
1.0	the number of Turkish run cafes increased from 20 in 1939 to 200 in 1945 which created a demand for more Turkish Cypriot workers	created	During the Second World War , the number of Turkish run cafes increased from 20 in 1939 to 200 in 1945 which created a demand for more			During the Second World War , the number of Turkish run cafes increased from 20 in 1939 to 200 in 1945 which created a demand for more Turkish Cypriot workers .		
1.0	some services	run	During the morning and evening rush hours some services run direct to/from Paddington and Reading			During the morning and evening rush hours some services run direct to/from Paddington and Reading .		
1.0	the ACT Rugby Union	renamed	During the off-season the ACT Rugby Union was renamed the ACT and Southern NSW Rugby Union			During the off-season the ACT Rugby Union was renamed the ACT and Southern NSW Rugby Union , and the name of the team was changed to Brumbies Rugby .		
1.0	the name of the team	changed	Brumbies Rugby			During the off-season the ACT Rugby Union was renamed the ACT and Southern NSW Rugby Union , and the name of the team was changed to Brumbies Rugby .		
1.0	Each of the Matoran	brought	their Toa stone			Each of the Matoran brought their Toa stone and met each other at the Great Temple .		
1.0	Each of the Matoran	met	each other at the Great Temple			Each of the Matoran brought their Toa stone and met each other at the Great Temple .		
1.0	Stephanie	dons	Each time Cluemaster escapes or starts some new plan , Stephanie dons her costume again			Each time Cluemaster escapes or starts some new plan , Stephanie dons her costume again .		
1.0	Cluemaster	starts	some new plan			Each time Cluemaster escapes or starts some new plan , Stephanie dons her costume again .		
1.0	Erotica and pornography involving sex between women have been predominantly produced by men	produced	for a male and female audience			Erotica and pornography involving sex between women have been predominantly produced by men for a male and female audience .		
1.0	Erotica and pornography	involving	sex between women			Erotica and pornography involving sex between women have been predominantly produced by men for a male and female audience .		
1.0	Failure to perform the duty	lead	prosecution at law and re-enslavement			Failure to perform the duty could lead to prosecution at law and re-enslavement .		
1.0	Falun Gong 's teachings	compiled	Li 's lectures			Falun Gong 's teachings are compiled from Li 's lectures , and Li holds definitional power in that belief system .		
1.0	some fans	smashing	their XM units			Fans reacted to the news of the suspension by canceling their XM Radio subscriptions , with some fans even going as far as smashing their XM units .		
1.0	Fans	canceling	their XM Radio subscriptions			Fans reacted to the news of the suspension by canceling their XM Radio subscriptions , with some fans even going as far as smashing their XM units .		
1.0	Fans	reacted	to the news of the suspension by canceling their XM Radio subscriptions			Fans reacted to the news of the suspension by canceling their XM Radio subscriptions , with some fans even going as far as smashing their XM units .		
1.0	some fans	going	as far as smashing their XM units			Fans reacted to the news of the suspension by canceling their XM Radio subscriptions , with some fans even going as far as smashing their XM units .		
1.0	the Miami Canal	dug , bypassing	From 1909 to 1912 , the Miami Canal was dug , bypassing the rapids at the head of the North Fork			From 1909 to 1912 , the Miami Canal was dug , bypassing the rapids at the head of the North Fork .		
1.0	the rapids		From 1909 to 1912 , the Miami Canal was dug , bypassing the rapids at the head of the North Fork			From 1909 to 1912 , the Miami Canal was dug , bypassing the rapids at the head of the North Fork .		
1.0	areas	designated	areas			From the start of the first semester of 2010 , the University banned smoking on any of its property , including inside and outside buildings in areas that were once designated as smoking areas .		
1.0	the University	banned	From the start of the first semester of 2010 , the University banned smoking on any of its property , including inside and outside buildings			From the start of the first semester of 2010 , the University banned smoking on any of its property , including inside and outside buildings in areas that were once designated as smoking areas .		
1.0	areas	designated	inside and outside buildings in areas that were once designated as smoking areas			From the start of the first semester of 2010 , the University banned smoking on any of its property , including inside and outside buildings in areas that were once designated as smoking areas .		
1.0	knowledge and interest pertaining to the event , as well as the level of importance	contribute	the frequency of rehearsal			Furthermore , knowledge and interest pertaining to the event , as well as the level of importance , contribute to the frequency of rehearsal .		
1.0	the player	shoot	constantly at a continual stream of enemies in order to reach the end of each level			Gameplay is very basic ; the player must shoot constantly at a continual stream of enemies in order to reach the end of each level .		
1.0	the player	reach	the end of each level			Gameplay is very basic ; the player must shoot constantly at a continual stream of enemies in order to reach the end of each level .		
1.0	Gavin Hood	winning	the Academy Award-winning Foreign Language Film `` Tsotsi			Gavin Hood is a South African filmmaker , screenwriter , producer and actor , best known for writing and directing the Academy Award-winning Foreign Language Film `` Tsotsi '' .		
1.0	Gavin Hood	known	writing and directing the Academy Award-winning Foreign Language Film `` Tsotsi			Gavin Hood is a South African filmmaker , screenwriter , producer and actor , best known for writing and directing the Academy Award-winning Foreign Language Film `` Tsotsi '' .		
1.0	Gavin Hood	writing	directing the Academy Award-winning Foreign Language Film `` Tsotsi			Gavin Hood is a South African filmmaker , screenwriter , producer and actor , best known for writing and directing the Academy Award-winning Foreign Language Film `` Tsotsi '' .		
1.0	the Bluth Company	builds	mini-mansions among many other activities			George Bluth Sr. , patriarch of the Bluth family , is the founder and former CEO of the Bluth Company which markets and builds mini-mansions among many other activities .		
1.0	Bluth Sr. , patriarch of the Bluth family , is the founder and former CEO of the Bluth Company	markets and builds	mini-mansions among many other activities			George Bluth Sr. , patriarch of the Bluth family , is the founder and former CEO of the Bluth Company which markets and builds mini-mansions among many other activities .		
1.0	a rift	open	between tectonic plates			Godzilla and Battra battled on the ocean floor , until they caused a rift to open between tectonic plates .		
1.0	Godzilla and Battra	battled	on the ocean floor			Godzilla and Battra battled on the ocean floor , until they caused a rift to open between tectonic plates .		
1.0	Godzilla and Battra	caused	a rift to open between tectonic plates			Godzilla and Battra battled on the ocean floor , until they caused a rift to open between tectonic plates .		
1.0	Good 1H NMR spectra	acquired	with 16 repeats			Good 1H NMR spectra can be acquired with 16 repeats , which takes only minutes .		
1.0	Good 1H NMR spectra can be acquired with 16 repeats	takes	minutes			Good 1H NMR spectra can be acquired with 16 repeats , which takes only minutes .		
1.0	HTB	spread	the teachings of Christianity			HTB 's aim is for an Alpha course to be accessible to anyone who would like to attend the course , and in this way HTB seeks to spread the teachings of Christianity .		
1.0	anyone	would like to attend	the course			HTB 's aim is for an Alpha course to be accessible to anyone who would like to attend the course , and in this way HTB seeks to spread the teachings of Christianity .		
1.0	HTB	seeks	to spread the teachings of Christianity			HTB 's aim is for an Alpha course to be accessible to anyone who would like to attend the course , and in this way HTB seeks to spread the teachings of Christianity .		
